id,brand_number,brand_name,size,sales_mrp,updated_at,product_type
51,426,SIGNATURE ULTRA PREMIER GRAIN WHISKY,180 ml,340,2026-04-09 23:52:17.693814,IML
52,426,SIGNATURE ULTRA PREMIER GRAIN WHISKY,750 ml,1360,2026-04-09 23:52:41.354206,IML
53,426,SIGNATURE ULTRA PREMIER GRAIN WHISKY,375 ml,680,2026-04-09 23:53:17.870458,IML
54,475,SEAGRAM`S BLENDERS PRIDE SELECT PR. WHISKY,90 ml,180,2026-04-09 23:53:39.251328,IML
55,475,SEAGRAM`S BLENDERS PRIDE SELECT PR. WHISKY,180 ml,340,2026-04-09 23:53:57.121361,IML
56,475,SEAGRAM`S BLENDERS PRIDE SELECT PR. WHISKY,375 ml,680,2026-04-09 23:54:11.83759,IML
57,475,SEAGRAM`S BLENDERS PRIDE SELECT PR. WHISKY,750 ml,1360,2026-04-09 23:55:08.193894,IML
58,475,SEAGRAM`S BLENDERS PRIDE SELECT PR. WHISKY,1000 ml,1790,2026-04-09 23:55:23.261966,IML
59,475,SEAGRAM`S BLENDERS PRIDE SELECT PR. WHISKY,2000 ml,3560,2026-04-09 23:55:40.592152,IML
60,546,8PM PREMIUM BLACK WHISKY,90 ml,120,2026-04-09 23:58:45.156063,IML
61,546,8PM PREMIUM BLACK WHISKY,180 ml,220,2026-04-09 23:58:59.71414,IML
63,546,8PM PREMIUM BLACK WHISKY,750 ml,880,2026-04-09 23:59:24.424533,IML
64,596,ANTIQUITY BLUE ULTRA PRE MIUM WHISKY,180 ml,360,2026-04-09 23:59:39.724256,IML
65,596,ANTIQUITY BLUE ULTRA PRE MIUM WHISKY,375 ml,730,2026-04-09 23:59:53.290179,IML
66,596,ANTIQUITY BLUE ULTRA PRE MIUM WHISKY,750 ml,1450,2026-04-10 00:00:05.73007,IML
67,605,TI MANSION HOUSE XO BRAN DY,90 ml,100,2026-04-10 00:00:34.147471,IML
68,605,TI MANSION HOUSE XO BRAN DY,180 ml,180,2026-04-10 00:00:54.855716,IML
69,605,TI MANSION HOUSE XO BRAN DY,375 ml,370,2026-04-10 00:01:14.29358,IML
70,605,TI MANSION HOUSE XO BRAN DY,750 ml,730,2026-04-10 00:01:40.433024,IML
71,605,TI MANSION HOUSE XO BRAN DY,1000 ml,1010,2026-04-10 00:01:54.077878,IML
72,609,ROCKFORD CLASSIC FINEST BLENDED WHISKY,180 ml,360,2026-04-10 00:02:49.161355,IML
73,609,ROCKFORD CLASSIC FINEST BLENDED WHISKY,750 ml,1460,2026-04-10 00:03:07.563549,IML
74,645,OFFICER S CHOICE BLUE PURE GRAIN WHISKY,90 ml,100,2026-04-10 00:03:39.220493,IML
75,645,OFFICER S CHOICE BLUE PURE GRAIN WHISKY,180 ml,190,2026-04-10 00:03:51.038901,IML
76,645,OFFICER S CHOICE BLUE PURE GRAIN WHISKY,375 ml,380,2026-04-10 00:04:03.567936,IML
77,645,OFFICER S CHOICE BLUE PURE GRAIN WHISKY,750 ml,760,2026-04-10 00:04:21.33557,IML
78,779,ELIXIR SILVIS GRAPE WINE,180 ml,210,2026-04-10 00:04:46.339992,IML
